time,name,phase,C,C_dot,speed,pulse_force,PER_force,drag,distance,gait,frequency,left_force,right_force,vertical_speed,sink_force
0,JELLY_A,0.8168140899333463,0,0,0,0,0,0,0,J_PULSE_CRUISE,0.38,0,0,0,0
0,JELLY_B,3.8327430373795477,0,0,0,0,0,0,0,J_PULSE_CRUISE,0.44,0,0,0,0
0,JELLY_C,2.324778563656447,0,0,0,0,0,0,0,J_PULSE_CRUISE,0.34,0,0,0,0
0,CLIONE_1,0.2,0,0,0,0,0,0,0,slowhover,1.14,0,0,0,0
0,CLIONE_2,2.7,0,0,0,0,0,0,0,slowhover,1.27,0,0,0,0
0,CLIONE_3,4.1,0,0,0,0,0,0,0,slowhover,1.39,0,0,0,0
0,CLIONE_4,1.5,0,0,0,0,0,0,0,slowhover,1.51,0,0,0,0
0,CLIONE_5,5.1,0,0,0,0,0,0,0,slowhover,1.63,0,0,0,0
0.06666666666666667,JELLY_A,0.9715695958192524,0.02621168342964302,0.09659884908548613,0.00006962400393378258,0.000028343938095595595,0,0.00014242640855344508,0.000002612464007704537,J_DRIFT_IDLE,0.3694145717102432,0,0,-0.00006952009449312712,0
0.06666666666666667,JELLY_B,4.014948742732619,0.14276625227316198,-1.0621123352360242,0.0004340673515174032,0,0.009041630522389885,0.0001795463415222462,0.000016056303985757102,J_PULSE_CRUISE,0.4348812508325753,0,0,0.0004339537842539047,0
0.06666666666666667,JELLY_C,2.469944754886914,0.8980455428938044,-0.731989789936097,0.00022911040069266008,0,0,0.00008951177581819052,0.000008601856702052941,J_ASCEND,0.3465096831470969,0,0,-0.000018651862868354575,0
0.06666666666666667,CLIONE_1,0.6769598510602084,0,0,0.00005561954877934032,0,0,1.5911151313187745e-7,0.000002353832012596973,slowhover,1.1376682648977976,0.0000018635210203820195,0.0000018638708289380442,0.00005542500348736123,0.0000026816588888072936
0.06666666666666667,CLIONE_2,3.2303180050569154,0,0,0.00006864948806493291,0,0,3.792830179734693e-8,0.000002381492920354484,slowhover,1.2631497400610079,0.000002386104128601195,0.0000024178042100204895,0.00006864470658340525,0.0000024068074237494818
0.06666666666666667,CLIONE_3,4.679689308403063,0,0,0.00005533673886792022,0,0,2.6578427034074396e-7,0.0000017260499410208968,slowhover,1.3794674164837535,1.4840045408835929e-8,1.6141512350990902e-8,-0.00005457992333592633,0.0000021468127946407423
0.06666666666666667,CLIONE_4,2.129532194035308,0,0,0.00006026954408813558,0,0,3.2249587970489697e-7,0.000002428463225500442,slowhover,1.4977323874088688,5.753306179545263e-7,5.75428044429095e-7,-0.00005986047741065707,0.0000029713671898141756
0.06666666666666667,CLIONE_5,5.780036602289167,0,0,0.000015825427334005362,0,0,5.195487574152867e-8,0.0000012291907550809385,slowswim,1.6187263705042176,0.000001326669926191364,0.0000013155664019189608,-0.00001574224251829327,0.0000019016750014810717
0.13333333333333333,JELLY_A,1.1262943453680903,0.032539775045294435,0.09219119931827094,0.00013901763552295025,0.000025816372341413776,0,0.00015216832043651567,0.000009857287612430783,J_DRIFT_IDLE,0.36934196572654193,0,0,-0.0001387985021261032,0
